Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
xk3,-0.5734063811,-0.0251982869,-0.5499240878,0.2895997416,0.8927369895,0.6143132862,-0.6320740039,1.3497166272,1.3463286276,1.1377668961,-0.3055834106,0.111708733,0.2124238026,0.4367160978,0.0806331567,0.7416222233,-1.662423848,0.9603042129,-0.7038623974,-0.7289106756
xk3,-2.4892393088,0.0569799994,-1.2446488646,0.9141518009,1.7379872791,0.4105550646,-1.6411813851,1.7773655188,1.5907608262,2.0006717477,-0.7745190829,-0.2161321007,-0.1299783622,0.1483011024,-0.9188909065,1.0529180847,-0.6085287482,0.169296146,-0.5180929648,-1.3857594379
xk3,-0.4919659848,0.4409276265,-1.5153953091,1.6613036342,1.6906463155,0.4610812053,-0.7374350882,0.1853350532,2.0721626727,-0.2236238245,-1.3122635394,-0.3657339895,0.6648399652,0.0393324362,-1.1235571313,1.3002423668,-0.9347585303,1.0087230701,-0.489056122,-2.5534921437
xk3,-0.4877154242,-0.099931283,-0.7507463184,0.9498075481,-0.5460558983,0.6360756328,-0.8452153117,0.6578284133,1.4385211335,1.0291613577,-2.7535943271,-0.8491924278,0.5971368192,-0.0103808417,-2.2084351748,0.4436922427,-2.6993701605,1.5427637332,-0.8865491542,-1.9800257667
xk3,-2.1118586435,1.415750443,0.3321949246,0.6577033803,1.6371845092,0.1108827116,-3.0010749529,0.37614762,3.8858626488,0.8458395756,0.3658220197,-0.983425626,1.2024326864,-0.515746449,-3.0152471991,1.4232617389,2.900718302,1.1696105225,-1.7038405828,0.0977080223
xk3,0.3136823841,2.230700875,-1.6512349433,1.3482512202,-0.0729386804,1.0721808264,2.5268013931,2.0337880665,0.4873501518,0.0969804174,-0.916902623,0.8212760548,1.6572537101,-0.1258607134,8.2910723093,0.8853645104,-0.6192727676,-0.0071604359,-0.8579320111,-2.755236083
xk3,0.6172884156,0.9222203936,0.4043937579,2.9693739817,1.0198532154,2.2839696862,-1.2786821395,0.2868290607,3.071749285,1.2568919987,-1.5763869033,-0.1497174741,2.7851017206,0.5213004303,-0.7470945287,0.7457939018,-0.6946105081,2.4207634069,3.1350414164,0.8053213993
xk3,1.0398459725,-2.840845357,-0.9347128522,-5.2420311131,1.1907750645,0.9868343207,-1.0983517441,0.5556538506,-0.1416132455,-0.4980217366,3.6857263824,0.1065349811,-1.9799777422,1.5852080025,0.4809398096,-0.0862177302,3.03075351,0.481986729,-0.5499615094,-0.4102015164
xk3,0.2527426153,1.0160517217,-1.078036573,-0.8460685684,-1.7428870883,-2.5322275901,0.2948031531,0.4628661016,2.1606530262,2.3614857455,-2.315188165,-0.6036450486,0.4246885446,-0.8761916308,5.9222468802,-1.5934209342,0.8583070949,0.4105452531,-0.1505121869,-2.4030400946
xk3,-0.4021257069,-1.714810742,-2.2400792259,-3.8152006438,-1.6912032998,-1.2646689647,-0.2561406368,-1.9570400584,-2.7461892058,0.8448883386,-1.3319173307,-1.6863122419,1.3155049318,-0.6344472879,-2.3718011174,-4.169848562,-1.5489201376,-2.2484256548,-0.3690197877,-3.4168237088
xk3,-1.7943672118,-5.638626515,-3.1157426282,-2.8343976545,-2.9596697444,-2.4506225373,-2.127655579,1.1082293366,-0.597797772,-1.8282510164,-0.1022275238,-1.802551075,-1.6791499077,-0.4495150445,4.0856857006,-1.8237257701,-0.2838791349,0.5955586847,-1.380173688,-2.5611603102
xk3,4.9734529385,-4.0085452642,1.569902398,-2.9823212602,1.2110459717,1.763998454,0.0567771766,-0.2948115107,1.2632411815,1.1115792188,-0.5531863458,-0.1567598069,-0.0494654261,-1.3331447192,2.9756789791,7.1518220652,1.0342900513,1.0637880515,-0.9538419878,1.8559815505
xk3,6.8296282575,0.8543362139,5.7801267874,-6.4699313718,5.4984542282,7.5006543304,4.1078840432,3.7800059678,3.8849367166,4.8147648244,3.0373973062,7.7149904548,10.292426437,4.1179498627,-1.6668837873,4.6242740341,4.7895831981,3.4624554568,6.6055337031,6.9849990857
xk3,14.588826677,3.8918976184,2.8902552381,9.9070384793,2.7072544499,9.7110842267,8.4056792015,10.7478255278,4.8312785219,8.4742635166,7.8405376062,11.296166961,20.7870420322,10.5038676388,4.9539567672,19.4564923992,7.5343991481,7.9204223405,8.9009149908,11.2609997255
xk3,9.113898302,-2.1930149998,-1.2916115371,-12.7404368266,-3.1185810166,4.9398322565,4.8503122555,11.0220493471,5.2500713722,3.3410383632,5.3620097637,7.3615966258,13.2428312722,6.6511503458,4.665149757,22.9962723732,2.8534547406,8.7882136777,4.8442904313,14.4664384233
xk3,-3.2976049341,-3.7937010613,-3.6350529876,4.6884296721,-2.736608536,-4.3919619058,-5.0187920549,-8.0897972976,-8.2150377625,-8.0388462768,-3.5492523395,-3.6174302313,5.263291506,-12.1238155589,-13.7733409191,-51.854520911,-3.5532242615,-12.1700511351,-6.489654532,-16.8626617924
xk3,17.4785429601,11.9523661858,15.0355063433,13.0429148952,17.4562793436,21.8094979825,14.3632376835,17.1234626853,12.8286629899,10.591974366,12.3878317631,24.254746964,10.0347498624,18.7410953608,26.0351100098,30.1139299229,12.2206546189,12.8463204706,17.4075895902,28.922679062
uk,-0.1724658603,-0.3252219524,-0.3709912097,0.2080890527,-0.0527265335,0.1560898753,-0.2420257813,0.2476521316,-0.0213344947,0.4264771421,0.0060104867,0.0747192295,-0.2809968385,0.0664462949,-0.0727716495,-0.0942378002,-0.1057579278,0.0101476837,-0.1696872756,-0.1665988572
uk,-0.2268260722,0.5656303175,0.5273694774,-0.3041161786,0.530084858,-0.0906252808,0.1658425296,-0.3758615907,-0.0568109645,-0.7840592787,-0.2251460562,-0.0959472096,0.6256563395,-0.0849538247,0.4116939219,0.3667850006,-0.2124769291,-0.1010386715,0.2088911889,0.7237062615
uk,1.2735432431,1.0395939735,0.6166723135,-0.4051591623,-0.3208271786,-0.8557544282,1.2822798569,-0.1765761736,0.4310231971,-0.8277581719,0.0206691499,-0.4913810887,0.8749501727,-0.2097720069,-0.5369952896,0.3198846699,0.5987256809,0.5342092682,0.2506790031,-0.9189952417
